'00851',BNC SUVIDHA SPL,7
'00852',BNC BBS SUVIDHA,7
'01081',DR BSL T F SPL ,8
'01082',BSL DR T F SPL ,8
'01149',BSL CSN T F SPL,4
'01150',CSN BSL T F SPL,4
'01151',CSN DHI T F SPL,4
'01152',DHI CSN T F SPL,4
'01153',CSN CSTM T F SP,12
'01154',CSTM CSN T F SP,12
'01156',PVR NAVI KMN SP,25
'01401',NGP TTKL FARE S,21
'01402',NGP SUR T F SPL,21
'01419',PAU TTKL FARE S,19
'01420',PAU KOP SPL    ,19
'01427',PVR TTKL FAREPA,8
'01428',MRJ TKL FARE PA,8
'01655',PUNE JBP SUP SP,13
'01656',JBP PUNE SPECIA,13
'01711',CSTM JBP SPL   ,15
'01712',JBP LTT SUP SPL,16
'01713',LTT HBJ SUP SPL,11
'01714',HBJ CSTM SUP SP,13
'02111',LTT LKO AC SPL ,13
'02112',LKO  LTT AC SPL,11
'02509',BNC KYQ SUVIDHA,17
'02510',KYQ BNC SUVIDHA,19
'02511',KYQ KUMBH SPL  ,25
'02512',KYQ PUNE SPECIA,25
'02590',GORAKHPUR  SPL ,12
'02779',VSG SBC LINK EX,22
'02853',SUVIDHA SPECIAL,8
'02873',VSKP TPTY SF SP,8
'02874',TPTY VSKP SF SP,8
'02877',KJM SPECIAL    ,13
'02878',KJM VSKP EXP   ,13
'02882',SUVIDHA SPL    ,7
'03235',SBG DNR SPECIAL,27
'03236',DNR SBG SPL    ,29
'03401',BGP DNR SPECIAL,27
'03402',DNR BGP SPL    ,27
'04401',ANVT SVDK SPL  ,12
'04402',SVDK ANVT SPL  ,12
'04403',LKO ANVT SPL   ,5
'04404',ANVT LKO SPL   ,5
'04405',LKO NDLS SPL   ,5
'04406',NDLS LKO SPL   ,5
'04407',DLI SPL        ,14
'04408',DLI DBG SPL    ,14
'04413',DEE SVDK SPL   ,12
'04414',SVDK DEE SPL   ,12
'04415',BJU NDLS AC SPL,14
'04416',NDLS BJU AC  SP,14
'04735',BKN HW SPL     ,18
'04736',HW BKN SPL     ,18
'04801',JU JSMSPL      ,11
'04802',JSM JU SPL     ,11
'04923',LKO NLDM SF SPL,9
'04924',NLDM LKO SF SPL,9
'04927',BSB CDG SPECIAL,8
'04928',CDG BSB SPECIAL,8
'04941',LKO SVDK SPL   ,12
'04942',SVDK LKO SPL   ,12
'05010',GKP SGG SPL    ,26
'05027',SUVDHA SPL     ,7
'05028',SUVIDHA SPL    ,7
'05065',CPR LJN SPL    ,14
'05066',LJN CPR SPL    ,14
'05115',CPR SVDKSPL    ,22
'05116',SVDK CPR SPL   ,22
'05817',APDJ DBB SPECIA,8
'05818',DBB APDJ SPECIA,8
'05967',RNY DBRG SPECIA,28
'05968',DBRG RNY SPECIA,28
'06063',TIRUNELVELI EXP,14
'06064',TEN CHENNAI EXP,15
'06065',MAS ERS EXP    ,16
'06066',CHENNAI EXP    ,15
'06228',MYSORE EXP     ,15
'06335',GHY KCVL SPECIA,58
'06336',GUWAHATI EXP   ,58
'06541',YPR PVR EXP    ,20
'06542',PVR YPR SPECIAL,15
'06543',YPR  CBE EXP   ,11
'06544',YESVANTPUR EXP ,11
'06948',UBL VSG LINK EX,9
'07239',PUSHKARAM SPL  ,12
'07265',TPTY SC SPL    ,14
'07301',TALGUPPA EXP   ,15
'07323',MAS HUBLI EXP  ,18
'07324',UBL MAS EXP    ,18
'07703',PUSHKARAM SPL  ,18
'07704',PUSHKARAM SPL  ,18
'07707',PUSHKARAM SPL  ,23
'07708',PUSHKARAM SPL  ,23
'07710',PUSHKARAM SPL  ,28
'07711',PUSHKARAM SPL  ,22
'07712',PUSHKARAM SPL  ,25
'07713',PUSHKARAM SPL  ,17
'07714',PUSHKARAM SPL  ,13
'07717',PUSHKARAM SPL  ,17
'07718',PUSHKARAM SPL  ,17
'07719',PUSHKARAM SPL  ,11
'07720',PUSHKARAM SPL  ,8
'07723',PUSHKARAM SPL  ,21
'07724',PUSHKARAM SPL  ,20
'08010',PURI HWH SPECIA,9
'08243',BSP BGKTSPECIAL,33
'08244',BGKT BSP SPL   ,33
'08245',BSP BKN SPECIAL,33
'08246',BKN BSP SPL    ,33
'08295',BSP PUNE SPL   ,16
'08301',SBP YPR SPECIAL,26
'08302',YPR SBP EXP    ,26
'08401',PURI SRC SPL   ,9
'08402',SRC PURI  SPL  ,9
'08449',BBS PNBE SPL   ,15
'08450',PNBE BBS SPL   ,15
'08501',VSKP SC SPL    ,14
'08502',SC VSKP SPL    ,14
'08891',BSP SVDK SPL   ,41
'08892',SVDK BSP SPL   ,22
'09607',NDT UDZ SPL    ,6
'09608',UDZ NDT SPL    ,6
'09627',AII DEE SF SPL ,14
'09628',DEE AII SF SPL ,14
'09721',JP UDZ SF SPL  ,12
'09722',UDZ JP SF SPL  ,12
'09807',KOTA NZM SUP SP,12
'09808',NZM KOTA SF SPL,11
'10001',SATPURA EXPRESS,12
'10002',SATPURA EXPRESS,12
'10103',MANDOVI EXPRESS,22
'10104',MANDOVI EXPRESS,22
'10111',KONKAN KANYA EX,21
'10112',KONKAN KANYA EX,21
'10215',MADGAON ERS EXP,14
'10216',MADGAON EXPRESS,14
'11003',RAJYA RANI EXP ,22
'11004',RAJYA RANI EXP ,22
'11005',PUDUCHERRY EXP ,39
'11006',CHALUKYA  EXP  ,38
'11007',DECCAN EXPRESS ,12
'11008',DECCAN EXPRESS ,11
'11009',SINHAGAD EXP   ,12
'11010',SINHAGAD EXP   ,11
'11011',LTT NANDED EXP ,16
'11012',NED LTT EXPRESS,16
'11013',COIMBATORE EXP ,35
'11014',LOKMANYA TT EXP,35
'11015',KUSHINAGAR EXP ,48
'11016',KUSHINAGAR EXP ,46
'11017',LTT KARAIKAL EX,32
'11018',KIK LTT EXPRESS,32
'11019',KONARK EXPRESS ,54
'11020',KONARK EXPRESS ,39
'11021',TIRUNELVELI EXP,40
'11022',CHALUKYA  EXP  ,39
'11023',SAHYADRI EXPRES,29
'11024',SAHYADRI EXP   ,31
'11025',BSL PUNE EXP   ,19
'11026',PUNE BSL EXP   ,19
'11027',CHENNAI MAIL   ,52
'11028',MUMBAI MAIL    ,52
'11029',KOYNA EXPRESS  ,35
'11030',KOYNA EXPRESS  ,35
'11031',SUR BIJAPUR EXP,5
'11032',BJP SUR EXP    ,5
'11033',DARBHANGA EXP  ,32
'11034',DBG PUNE EXP   ,30
'11035',SHARAVATHI EXP ,27
'11036',SHARAVATI  EXP ,26
'11037',PA GORAKHPUR EX,19
'11038',GKP PUNE EXPRES,17
'11039',MAHARASHTRA EXP,122
'11040',MAHARASHTRA EXP,66
'11041',CSTM CHENNAI EX,38
'11042',MUMBAI EXPRESS ,35
'11043',MADURAI EXPRESS,28
'11044',LOKAMANYA TT EX,28
'11045',DIKSHABHOOMI EX,39
'11046',DIKSHABHUMI EXP,38
'11047',MIRAJ UBL EXP  ,16
'11048',UBL MRJ EXPRESS,15
'11049',KOLHAPUR EXPRES,18
'11050',AHMEDABAD EXP  ,18
'11051',SUR KOP EXP    ,11
'11052',KOP SOLAPUR EXP,9
'11053',LTT AZAMGARH EX,17
'11054',AMH LTT EXP    ,17
'11055',GODAN EXPRESS  ,24
'11056',GODAN EXPRESS  ,23
'11057',AMRITSAR EXPRES,98
'11058',ASR CSTM  EXP  ,90
'11059',CHHAPRA EXPRESS,26
'11060',CPR LTT EXPRESS,24
'11061',MUZAFFARPUR EXP,37
'11062',MFP LTT EXPRESS,35
'11063',MS SALEM EXP   ,18
'11064',SA CHENNAI EXP ,14
'11065',DARBHANGA  EXP ,40
'11066',DBG LTT EXPRESS,38
'11067',SAKET EXPRESS  ,25
'11068',SAKET EXPRESS  ,20
'11069',TULSI EXPRESS  ,25
'11070',TULSI EXPRESS  ,25
'11071',KAMAYANI EXPRES,44
'11072',KAMAYANI EXPRES,41
'11073',LTT CHENNAI  EX,18
'11074',CHENNAI LTT EXP,17
'11075',LTT BIDR EXPRES,13
'11076',BIDR LTT EXP   ,13
'11077',JHELUM EXPRESS ,66
'11078',JHELUM EXPRESS ,65
'11081',LTT GKP EXPRESS,20
'11082',GKP LTT EXP    ,20
'11087',VERAVAL PUNE EX,26
'11088',PUNE VERAVAL EX,26
'11089',BGKTPUNE EXPRES,27
'11090',PUNE BGKT EXP  ,27
'11091',BHUJ PUNE EXP  ,24
'11092',PUNE BHUJ EXP  ,24
'11093',MAHANAGARI EXP ,28
'11094',MAHANAGARI EXP ,27
'11095',AHIMSA EXPRESS ,17
'11096',AHIMSA EXPRESS ,17
'11097',POORNA EXPRESS ,34
'11098',POORNA EXPRESS ,33
'11101',PUNE GWALIOR EX,23
'11102',GWL PUNE EXP   ,23
'11103',JHS BDTS EXP   ,21
'11104',BDTS JHANSI EXP,21
'11105',PRATHAM S S EXP,22
'11106',PRATHAM S SNGRM,22
'11107',BUNDELKHAND EXP,30
'11108',BUNDELKHAND EXP,36
'11109',JHS LJN  INT EX,11
'11110',LJN JHS INT EXP,11
'11111',GD SUSHASAN EXP,11
'11112',GWL SUSHASAN EX,11
'11123',BJU GWL MAIL   ,49
'11124',GWL BJU MAIL   ,49
'11125',IND GWALIAR EXP,12
'11126',GWL INDB EXPRES,10
'11201',LTT AJNI EXPRES,27
'11202',AJNI LTT EXPRES,27
'11203',NGP JAIPUR EXP ,28
'11204',JP NGP EXP     ,28
'11205',LTT NZB EXPRESS,21
'11206',NZB  LTT EXP   ,20
'11207',NGP REWA EXP   ,16
'11208',REWA NAGPUR EXP,16
'11265',AMBIKAPUR EXPRE,14
'11266',ABKP JBP EXPRES,14
'11271',VINDHYACHAL EXP,45
'11272',VINDHYACHAL EXP,45
'11301',UDYAN EXPRESS  ,36
'11302',UDYAN EXP      ,35
'11303',HYB KOP EXPRESS,37
