Id,Label
TBM ,TBM 
CGL ,CGL 
VM  ,VM  
VRI ,VRI 
TPJ ,TPJ 
DG  ,DG  
KQN ,KQN 
MDU ,MDU 
VPT ,VPT 
SRT ,SRT 
CVP ,CVP 
MEJ ,MEJ 
TEN ,TEN 
MBM ,MBM 
AJJ ,AJJ 
SA  ,SA  
ED  ,ED  
TUP ,TUP 
CBF ,CBF 
PTJ ,PTJ 
PGT ,PGT 
OTP ,OTP 
TCR ,TCR 
AWY ,AWY 
ERN ,ERN 
PER ,PER 
TLGP,TLGP
SRF ,SRF 
ANF ,ANF 
SMET,SMET
SME ,SME 
BDVT,BDVT
TKE ,TKE 
HAS ,HAS 
HLN ,HLN 
MGF ,MGF 
KRNR,KRNR
MYS ,MYS 
KOJ ,KOJ 
DQG ,DQG 
BOE ,BOE 
DGR ,DGR 
ADRA,ADRA
BQA ,BQA 
VSU ,VSU 
MDN ,MDN 
HIJ ,HIJ 
BLS ,BLS 
CTC ,CTC 
CHE ,CHE 
NGNT,NGNT
TEL ,TEL 
KTYM,KTYM
TRVL,TRVL
CNGR,CNGR
KYJ ,KYJ 
QLN ,QLN 
KCVL,KCVL
BGM ,BGM 
GPB ,GPB 
KUD ,KUD 
BWT ,BWT 
KPN ,KPN 
TPT ,TPT 
YLM ,YLM 
TUNI,TUNI
ANV ,ANV 
APT ,APT 
KYM ,KYM 
KVR ,KVR 
NDD ,NDD 
MDR ,MDR 
KMT ,KMT 
MABD,MABD
WL  ,WL  
ZN  ,ZN  
KOU ,KOU 
RJP ,RJP 
NRE ,NRE 
HX  ,HX  
YA  ,YA  
MOO ,MOO 
TU  ,TU  
GY  ,GY  
GTL ,GTL 
BAY ,BAY 
TNGL,TNGL
HPT ,HPT 
KBL ,KBL 
GDG ,GDG 
COA ,COA 
CCT ,CCT 
GVN ,GVN 
TDD ,TDD 
GNT ,GNT 
SAP ,SAP 
PGRL,PGRL
NDKD,NDKD
MRGA,MRGA
NLDA,NLDA
HYB ,HYB 
DKJ ,DKJ 
PVP ,PVP 
VBL ,VBL 
NRT ,NRT 
VKN ,VKN 
DKD ,DKD 
MRK ,MRK 
CBM ,CBM 
GID ,GID 
NDL ,NDL 
DHNE,DHNE
ATP ,ATP 
DMM ,DMM 
CLX ,CLX 
KHT ,KHT 
TNKU,TNKU
BVRT,BVRT
AKVD,AKVD
KKLR,KKLR
GDV ,GDV 
PAV ,PAV 
CLU ,CLU 
MTM ,MTM 
KVZ ,KVZ 
BPP ,BPP 
BDCR,BDCR
KRA ,KRA 
NKD ,NKD 
ALER,ALER
BG  ,BG  
PURI,PURI
JJKR,JJKR
BYT ,BYT 
BPHB,BPHB
RJN ,RJN 
PAR ,PAR 
BPL ,BPL 
SEH ,SEH 
SJP ,SJP 
BCH ,BCH 
UJN ,UJN 
NAD ,NAD 
SGZ ,SGZ 
RMA ,RMA 
KOTA,KOTA
IDG ,IDG 
SWM ,SWM 
BNLW,BNLW
DPA ,DPA 
JP  ,JP  
FL  ,FL  
KMNC,KMNC
MKN ,MKN 
DNA ,DNA 
MTD ,MTD 
GOTN,GOTN
BGKT,BGKT
BWM ,BWM 
NGO ,NGO 
NOK ,NOK 
DSO ,DSO 
SBP ,SBP 
BRGA,BRGA
BLGR,BLGR
TIG ,TIG 
KSNG,KSNG
MNGD,MNGD
RGDA,RGDA
PAK ,PAK 
CTO ,CTO 
SRC ,SRC 
CRJ ,CRJ 
PND ,PND 
APR ,APR 
SDL ,SDL 
NKJ ,NKJ 
UMR ,UMR 
KMZ ,KMZ 
DMO ,DMO 
SGO ,SGO 
MAKR,MAKR
AGD ,AGD 
GWL ,GWL 
AGC ,AGC 
PWL ,PWL 
TKD ,TKD 
NDT ,NDT 
MVJ ,MVJ 
KLH ,KLH 
DRB ,DRB 
RPZ ,RPZ 
UDZ ,UDZ 
AII ,AII 
KSG ,KSG 
RNW ,RNW 
RGS ,RGS 
SMPR,SMPR
NMK ,NMK 
DBLA,DBLA
NNL ,NNL 
AEL ,AEL 
GGN ,GGN 
DEC ,DEC 
NRI ,NRI 
NSD ,NSD 
BJNR,BJNR
BHL ,BHL 
CNA ,CNA 
GGC ,GGC 
SMBJ,SMBJ
HAN ,HAN 
BXN ,BXN 
BTE ,BTE 
MTJ ,MTJ 
FDB ,FDB 
NZM ,NZM 
BTC ,BTC 
SMC ,SMC 
CRN ,CRN 
LTA ,LTA 
NWA ,NWA 
NIR ,NIR 
PDE ,PDE 
GNS ,GNS 
SKY ,SKY 
BUQ ,BUQ 
HBG ,HBG 
DIVA,DIVA
MNI ,MNI 
KHED,KHED
CHI ,CHI 
SGR ,SGR 
RN  ,RN  
ADVI,ADVI
RAJP,RAJP
VBW ,VBW 
KKW ,KKW 
SNDD,SNDD
KUDL,KUDL
SWV ,SWV 
PERN,PERN
THVM,THVM
KRMI,KRMI
VEN ,VEN 
VID ,VID 
KAWR,KAWR
BTJL,BTJL
UD  ,UD  
TOK ,TOK 
MAJN,MAJN
KGQ ,KGQ 
CAN ,CAN 
CLT ,CLT 
TIR ,TIR 
SRR ,SRR 
ROHA,ROHA
VEER,VEER
SVX ,SVX 
AVRD,AVRD
NAN ,NAN 
KJT ,KJT 
LNL ,LNL 
STR ,STR 
KRD ,KRD 
TKR ,TKR 
SLI ,SLI 
BAND,BAND
VLR ,VLR 
ARV ,ARV 
PRL ,PRL 
TNM ,TNM 
TRK ,TRK 
PDY ,PDY 
NRL ,NRL 
KAD ,KAD 
TGN ,TGN 
KK  ,KK  
SVJR,SVJR
CCH ,CCH 
PMP ,PMP 
NED ,NED 
DUD ,DUD 
GUR ,GUR 
GR  ,GR  
SDB ,SDB 
WADI,WADI
YG  ,YG  
KSN ,KSN 
RC  ,RC  
MALM,MALM
AD  ,AD  
KLU ,KLU 
SSPN,SSPN
HUP ,HUP 
BNCE,BNCE
XXXX,XXXX
HSRA,HSRA
DPJ ,DPJ 
OML ,OML 
RV  ,RV  
BAU ,BAU 
NPNR,NPNR
KKN ,KKN 
TBN ,TBN 
MDDP,MDDP
BHS ,BHS 
BAQ ,BAQ 
LAR ,LAR 
BAB ,BAB 
CGN ,CGN 
AIT ,AIT 
KPI ,KPI 
PHN ,PHN 
BZM ,BZM 
GOY ,GOY 
ON  ,ON  
BV  ,BV  
WST ,WST 
MSB ,MSB 
TDPR,TDPR
CDM ,CDM 
SY  ,SY  
MV  ,MV  
TVR ,TVR 
NGT ,NGT 
NCR ,NCR 
KIK ,KIK 
SEM ,SEM 
TDU ,TDU 
BMT ,BMT 
SPT ,SPT 
IPM ,IPM 
CAP ,CAP 
BALU,BALU
KRR ,KRR 
DEHR,DEHR
ALN ,ALN 
JJR ,JJR 
NIRA,NIRA
LNN ,LNN 
WTR ,WTR 
KRG ,KRG 
KOV ,KOV 
BVQ ,BVQ 
JSP ,JSP 
VV  ,VV  
GPR ,GPR 
KJ  ,KJ  
CKHS,CKHS
MHPE,MHPE
CHOK,CHOK
KEM ,KEM 
HG  ,HG  
AKOR,AKOR
NW  ,NW  
SADP,SADP
MTU ,MTU 
KO  ,KO  
KGL ,KGL 
NRR ,NRR 
RLO ,RLO 
KDP ,KDP 
KKM ,KKM 
PUT ,PUT 
TRT ,TRT 
TRL ,TRL 
RMP ,RMP 
TAZ ,TAZ 
MSR ,MSR 
SIW ,SIW 
GRMT,GRMT
NMGT,NMGT
VRB ,VRB 
IDR ,IDR 
NBL ,NBL 
BJP ,BJP 
KTE ,KTE 
MYR ,MYR 
STA ,STA 
MKP ,MKP 
ALD ,ALD 
ALY ,ALY 
GYN ,GYN 
MUV ,MUV 
BCY ,BCY 
ARJ ,ARJ 
GCT ,GCT 
BUI ,BUI 
LSI ,LSI 
MAU ,MAU 
BIR ,BIR 
MDVR,MDVR
NDE ,NDE 
BPF ,BPF 
SGP ,SGP 
BVNR,BVNR
KY  ,KY  
SRID,SRID
JSV ,JSV 
SHR ,SHR 
JTW ,JTW 
ABLE,ABLE
DBR ,DBR 
SRJ ,SRJ 
JSR ,JSR 
URI ,URI 
KDG ,KDG 
NYN ,NYN 
PRG ,PRG 
PFM ,PFM 
PB  ,PB  
SYC ,SYC 
PLP ,PLP 
URPR,URPR
YL  ,YL  
BYHA,BYHA
JNH ,JNH 
SQN ,SQN 
SAW ,SAW 
MOF ,MOF 
BOY ,BOY 
PRF ,PRF 
KEH ,KEH 
SWPR,SWPR
CHH ,CHH 
JKN ,JKN 
DLR ,DLR 
IAA ,IAA 
BLTR,BLTR
LRD ,LRD 
SEGM,SEGM
SRU ,SRU 
TGP ,TGP 
SNI ,SNI 
AJNI,AJNI
ITR ,ITR 
KP  ,KP  
BRD ,BRD 
TMR ,TMR 
TRO ,TRO 
VNA ,VNA 
CJ  ,CJ  
MLMR,MLMR
SRGM,SRGM
AWB ,AWB 
J   ,J   
KNVT,KNVT
ADB ,ADB 
MJRI,MJRI
NRKR,NRKR
AMLA,AMLA
