BBS ,2100
BAM ,1200
VSKP,2010
BZA ,3130
RU  ,1360
JTJ ,1600
BNC ,700
DR  ,1100
TNA ,1460
KYN ,2540
IGP ,1050
NK  ,1330
CSN ,450
JL  ,1410
BSL ,2480
PC  ,250
JMD ,40
SHF ,40
DHI ,40
NGN ,210
MMR ,1860
LS  ,210
DVL ,420
KSRA,240
CSTM,1010
JM  ,160
PVR ,160
KMN ,10
KWV ,640
JEUR,190
BGVN,150
DD  ,1170
ANG ,580
BAP ,420
KPG ,720
BDWD,120
MKU ,560
NN  ,230
SEG ,340
AK  ,1130
MZR ,320
BD  ,920
NAVI,50
SUR ,1000
MO  ,100
MA  ,90
BTW ,160
UMD ,200
LUR ,200
LTRR,300
PRLI,260
PBN ,650
PAU ,710
HNL ,260
WHM ,260
CND ,160
DMN ,300
PLO ,270
WR  ,720
NGP ,2430
KOP ,270
RKD ,110
HTK ,160
MRJ ,630
KVK ,90
DLGN,110
SGLA,110
MLB ,80
PNF ,100
GNH ,200
ARAG,20
SGRE,20
JTRD,20
PUNE,2080
KNW ,1250
HD  ,510
ET  ,2620
PPI ,750
NU  ,660
MML ,290
JBP ,1630
GAR ,290
LTT ,1270
HBD ,490
HBJ ,930
BINA,1360
JHS ,2170
ORAI,530
CNB ,2830
LKO ,2390
KPD ,1770
MAS ,1780
DVD ,970
VZM ,1490
KUR ,1910
BHC ,1090
KGP ,1750
HWH ,2300
RPH ,850
MLDT,1090
KNE ,1170
NJP ,1260
NBQ ,940
KYQ ,900
GLPT,370
PSA ,820
PNVL,800
G   ,1030
DURG,1270
R   ,1410
BSP ,1290
JSG ,940
ROU ,870
CKP ,590
PRR ,490
JOC ,190
ASN ,1900
UDL ,430
RQJ ,80
NCB ,740
NOQ ,620
SC  ,1700
KZJ ,1040
BPQ ,1160
LJN ,790
GD  ,960
BST ,780
GKP ,1360
VSG ,150
MAO ,850
SVM ,140
QLM ,150
CLR ,150
LD  ,430
LWR ,220
DWR ,530
UBL ,840
HVR ,370
RNR ,350
HRR ,370
DVG ,490
JRU ,170
RRB ,500
DRU ,300
ASK ,620
TTR ,340
AMSA,60
TK  ,550
YPR ,1430
SBC ,1170
CBE ,1240
ERS ,970
AKP ,700
SLO ,1350
RJY ,1890
TPTY,1110
EE  ,1230
OGL ,1520
NLR ,1520
GDR ,1600
KJM ,810
SBG ,300
PPT ,180
CLG ,240
EKC ,100
GGA ,120
BGP ,560
AKN ,180
SGG ,440
BUP ,340
JMP ,550
DRH ,200
AHA ,530
KJH ,260
KIUL,1340
LKR ,500
BRYA,510
HTZ ,490
MKA ,1060
BARH,600
ATL ,180
BKP ,990
KOO ,380
FUT ,640
PNC ,1180
RJPB,780
PNBE,1910
DNR ,880
KWO ,130
DMRX,80
NAT ,80
KPRD,40
RPUR,80
MSDN,40
UREN,60
DNRE,40
PHK ,200
ANVT,530
GZB ,1710
MTC ,540
MOZ ,440
SRE ,1070
UMB ,2060
LDH ,1760
JRC ,1170
PTKC,920
JAT ,1030
UHP ,270
SVDK,190
BE  ,1620
MB  ,1960
NDLS,2390
DBG ,480
SPJ ,1020
MFP ,1000
HJP ,970
CPR ,1210
SV  ,610
DEOS,700
DLI ,1270
DEE ,620
ROK ,510
JIND,370
NRW ,290
JHL ,390
DUI ,460
BJU ,1310
BKN ,540
NPS ,80
SDF ,60
SDGH,80
RJR ,80
RTGH,160
CUR ,160
SDLP,170
LHU ,100
MHRG,120
RE  ,780
DSA ,340
BTU ,40
SMQL,40
TPZ ,150
RK  ,760
HW  ,660
JU  ,870
RKB ,260
MMY ,60
TIW ,70
OSN ,110
MWT ,40
PLCJ,170
RDRA,150
AQG ,110
SBLT,130
JSM ,150
JUD ,630
CDG ,630
RPAR,120
NLDM,120
BSB ,2010
SLN ,500
SPN ,960
CC  ,150
JAJ ,1050
STL ,170
BTT ,500
JSME,1160
MW  ,170
EKMA,110
DGA ,250
SEE ,710
DES ,90
MNO ,50
SPP ,110
MOG ,70
VPDA,30
BCA ,150
KLD ,560
THE ,40
TOI ,40
POU ,40
RKL ,20
CPJ ,160
MUR ,530
BBK ,780
BNZ ,440
SCC ,80
APDJ,280
APD ,20
TFGN,20
AGMN,20
GKJ ,40
GUP ,40
DBB ,40
RNY ,580
CGS ,60
GHY ,860
JID ,290
CPK ,310
HJI ,310
LKA ,240
LMG ,450
DPU ,430
DMV ,430
BXJ ,160
SZR ,120
FKG ,290
TTB ,60
MXN ,390
AGI ,100
NMT ,60
SLGR,290
BOJ ,80
SPK ,40
BFD ,40
NAM ,80
NHK ,100
DJG ,80
NTSK,290
CHB ,20
DBRG,260
MS  ,870
TBM ,600
CGL ,720
VM  ,940
VRI ,530
TPJ ,850
DG  ,740
KQN ,270
MDU ,770
VPT ,580
SRT ,510
CVP ,540
MEJ ,400
TEN ,500
MBM ,200
AJJ ,1100
SA  ,1540
ED  ,1620
TUP ,1250
CBF ,1090
PTJ ,600
PGT ,1050
OTP ,400
TCR ,1490
AWY ,1210
ERN ,800
PER ,420
TLGP,60
SRF ,60
ANF ,60
SMET,100
SME ,60
BDVT,100
TKE ,100
HAS ,160
HLN ,120
MGF ,40
KRNR,120
MYS ,520
KOJ ,530
DQG ,330
BOE ,680
DGR ,1300
ADRA,440
BQA ,400
VSU ,280
MDN ,360
HIJ ,280
BLS ,1230
CTC ,1400
CHE ,790
NGNT,130
TEL ,890
KTYM,680
TRVL,630
CNGR,660
KYJ ,940
QLN ,1120
KCVL,280
BGM ,390
GPB ,260
KUD ,190
BWT ,700
KPN ,250
TPT ,260
YLM ,300
TUNI,600
ANV ,500
APT ,240
KYM ,80
KVR ,530
NDD ,570
MDR ,310
KMT ,860
MABD,450
WL  ,1360
ZN  ,310
KOU ,250
RJP ,350
NRE ,180
HX  ,440
YA  ,420
MOO ,140
TU  ,360
GY  ,880
GTL ,990
BAY ,320
TNGL,200
HPT ,260
KBL ,240
GDG ,380
COA ,110
CCT ,200
GVN ,290
TDD ,690
GNT ,580
SAP ,260
PGRL,260
NDKD,260
MRGA,300
NLDA,320
HYB ,420
DKJ ,320
PVP ,320
VBL ,320
NRT ,200
VKN ,140
DKD ,180
MRK ,200
CBM ,160
GID ,180
NDL ,200
DHNE,580
ATP ,760
