id,label,weight,modularity_class,componentnumber
'19709',KAVI GURU EXP  ,0.714285714,0,0
'17621',AWB RU EXPRESS ,0.625,17,0
'17620',NED AWB EXP    ,0.384615385,49,0
'17623',NED BKN EXP    ,0.833333333,53,0
'17622',RU AWB EXPRESS ,0.625,17,0
'17624',BKN NED EXP    ,0.833333333,53,0
'57265',VSKP NS PASS   ,5,10,0
'57264',NS VSKP PASSR  ,5,10,0
'16175',KARAIKAL EXP   ,1.666666667,17,0
'15031',RMR CDG EXP    ,1.666666667,0,0
'16714',RMM CHENNAI EXP,1,17,0
'16713',RAMESWARAM EXP ,1,17,0
'16179',MANNAI EXP     ,1.25,17,0
'12008',SHATABDI EXP   ,0.192307692,3,3
'12009',SHATABDI EXP   ,0.23255814,53,0
'12006',KALKA SHTBDI   ,0.37037037,0,0
'12007',SHATABDI EXP   ,0.192307692,4,4
'12004',LJN SWRAN SHTBD,0.163934426,0,0
'12005',KALKA SHTBDI   ,0.37037037,0,0
'12002',BHOPAL SHTBDI  ,0.256410256,49,0
'12003',LJN SWRAN SHTBD,0.163934426,0,0
'12001',NDLS SHATABDI E,0.256410256,49,0
'19565',UTTARANCHAL EXP,0.666666667,53,0
'19566',UTTARANCHAL EXP,5,53,0
'19567',VIVEK EXP      ,1,53,0
'19568',VIVEK EXPRESS  ,1,53,0
'19569',OKHA BSB EXPRES,0.333333333,53,0
'56910',SBC FAST PSGN  ,5,17,0
'56912',SBC FAST PSGN  ,5,17,0
'13288',SOUTH BIHAR EXP,1.666666667,0,0
'13287',SOUTH BIHAR EXP,1,0,0
'13282',RJPB NTSK EXP  ,1.25,0,0
'13281',NTSK  RJPB  EXP,1.25,0,0
'21107',KURJ BSB LINK E,2.5,49,0
'12138',PUNJAB MAIL    ,1.666666667,49,0
'12139',SEWAGRAM  EXP  ,5,49,0
'12132',SAINAGAR DR EXP,0.454545455,49,0
'12133',MANGALORE EXP  ,0.555555556,49,0
'12130',AZAD HIND EXP  ,0.333333333,49,0
'12131',DR SAINAGAR EXP,0.454545455,49,0
'12136',NAGPUR PUNE EXP,0.588235294,49,0
'12137',PUNJAB MAIL    ,1.666666667,49,0
'12134',MUMBAI EXP     ,0.555555556,49,0
'12135',PUNE NAGPUR EXP,0.588235294,49,0
'12441',BSP NDLS RAJ EX,0.178571429,49,0
'58840',JBP NIR NGP PAS,5,49,0
'22801',VSKP MAS SF EXP,0.769230769,10,0
'22803',HWH SBP SUP EXP,0.434782609,10,0
'22802',MAS VSKP  EXP  ,0.769230769,10,0
'22805',BBS NDLS SUP EX,1,0,0
'22804',SBP HWH SUP EXP,0.434782609,10,0
'22807',SRC  MAS AC EXP,0.303030303,10,0
'22806',NDLS BBS SUP EX,1,0,0
'18609',RNC LTT EXPRESS,0.416666667,49,0
'22808',MAS SRC AC EXP ,0.303030303,10,0
'19666',UDZ KURJ EXP   ,1.666666667,53,0
'14890',MBF BGKT EXP   ,5,5,5
'12226',KAIFIYAT EXP   ,0.625,0,0
'12227',INDORE DURONTO ,0.23255814,6,6
'12224',ERS LTT DURONTO,0.117647059,49,0
'12225',KAIFIYAT EXP   ,0.625,0,0
'12222',HWH PUNE DURONT,0.104166667,49,0
'12223',LTT ERS DURONTO,0.434782609,17,0
'12220',DURONTO AC EXP ,0.227272727,49,0
'12221',HOWRAH DURONTO ,0.104166667,49,0
'12228',MUMBAI DURONTO ,0.23255814,7,7
'12229',LUCKNOW MAIL   ,0.161290323,0,0
'15708',ASR KIR EXPRESS,1.666666667,0,0
'14650',SARYUYAMUNA EXP,2.5,0,0
'21068',SAKET LINK EXP ,0.357142857,49,0
'14659',DLI JSM EXPRESS,10,53,0
'15707',KIR ASR EXPRESS,1.666666667,0,0
'14096',HIMALAYAN QUEEN,10,0,0
'14095',HIMALYAN QUEEN ,2.5,0,0
'13426',ST MALDA TOWN E,0.5,49,0
'72452',RAIL MOTOR     ,1.25,8,8
'13064',BLGT HWH EXPRES,1.666666667,0,0
'13063',HWH BLGT EXP   ,1.666666667,0,0
'72451',RAIL MOTOR     ,1.25,9,9
'16316',BANGALORE EXP  ,0.5,17,0
'59821',KOTA BIX PASS  ,10,53,0
'59822',BIX KOTA PASS  ,10,53,0
'13420',JANSEWA EXPRESS,0.666666667,0,0
'18448',HIRAKHAND EXP  ,5,10,0
'18449',B NATH DHAM EXP,0.714285714,0,0
'12954',AG KRANTI RJDHN,0.384615385,53,0
'12955',BCT JP EXPRESS ,0.666666667,53,0
'12956',JP BCT SUPFAST ,0.666666667,53,0
'12957',SWARNA J RAJ EX,0.277777778,53,0
'15670',NAGALAND EXPRES,0.344827586,0,0
'12951',MUMBAI RAJDHANI,0.23255814,53,0
'12952',MUMBAI RAJDHANI,0.23255814,53,0
'12953',AUG KR RAJ EXP ,0.384615385,53,0
'08401',PURI SRC SPL   ,0.12195122,10,0
'08402',SRC PURI  SPL  ,0.12195122,10,0
'12958',ADI SJ RAJDHANI,0.555555556,53,0
'12959',DADAR BHUJ EXP ,2.5,53,0
'12019',SHATABDI EXPRES,0.37037037,0,0
'22480',BKN JSM EXPRESS,5,53,0
'05968',DBRG RNY SPECIA,5,0,0
'05967',RNY DBRG SPECIA,5,0,0
'18620',DUMK RNC EXPRES,5,0,0
'18621',PATLIPUTRA EXP ,2.5,0,0
'18622',PATLIPUTRA EXP ,2.5,0,0
'18623',RJPB HATIA EXP ,10,0,0
'18624',HTE RJPB EXP   ,5,0,0
'18625',PNBE HTE EXPRES,1.666666667,0,0
'18626',HTE PNBE EXP   ,5,0,0
'18627',HWH RNC INT EXP,0.555555556,0,0
'18628',RNC HWH INT EXP,0.555555556,0,0
'18629',RNC NJP EXP    ,3.333333333,0,0
'15906',VIVEK EXPRESS  ,0.625,10,0
'12483',AMRITSAR EXP   ,0.357142857,53,0
'15904',CDG DBRG EXPRES,0.384615385,0,0
'15905',DBRG  VIVEK EXP,0.625,10,0
'15902',DBRG SBC EXPRES,1.666666667,10,0
'15903',DBRG CDG EXPRES,0.384615385,0,0
'12484',ASR KCVL EXPRES,0.357142857,53,0
'15901',DIBRUGARH EXP  ,10,10,0
'12488',SEEMANCHAL EXP ,2.5,0,0
'12489',BKN DDR SF EXP ,1.25,53,0
'83131',GRD DNR LINK   ,3.333333333,0,0
'83132',DNR GRD LINK EX,3.333333333,0,0
'15909',ABADH ASSAM EXP,10,0,0
'12925',PASCHIM EXPRESS,1.25,53,0
'12924',NGP INDORE EXP ,0.434782609,49,0
'16381',KANYAKUMARI EXP,1,17,0
'14526',UMB INTERCITY  ,1.25,0,0
'11111',GD SUSHASAN EXP,0.181818182,0,0
'11110',LJN JHS INT EXP,1,49,0
'12926',PASCHIM EXPRESS,0.384615385,53,0
'58530',VSKP DURG PAS  ,5,10,0
'12798',VENKATADRI EXP ,1.666666667,17,0
'19034',GUJARAT QUEEN  ,1.428571429,53,0
'19574',JP OKHA EXP    ,0.714285714,53,0
'11447',SHAKTIPUNJ EXP ,2.5,0,0
'12982',CHETAK EXP     ,1.666666667,53,0
'12685',MANGALORE EXP  ,0.714285714,17,0
'51033',SHIRDI FAST PAS,1.666666667,49,0
'51030',BJP BB FAST PAS,3.333333333,49,0
'17319',SECUNDRABAD EXP,1.25,17,0
'12828',PRR HWH EXP    ,5,10,0
'12829',BHUBANESWAR EXP,0.303030303,10,0
'03235',SBG DNR SPECIAL,1,0,0
'17318',LTT HUBLI EXP  ,0.52631579,49,0
'12824',CHTSGRH S KRNTI,0.27027027,49,0
'12825',JHRKHND S KRANT,0.555555556,0,0
'12826',JHRKHND S KRNTI,0.555555556,0,0
'12827',HWH PRR EXP    ,5,10,0
'12820',ORISSA S KRNTI ,0.555555556,10,0
'12821',DHAULI EXP     ,2.5,10,0
'12822',DHAULI EXP     ,2.5,10,0
'12823',C G SMPRK KRNTI,0.27027027,49,0
'11025',BSL PUNE EXP   ,5,49,0
'11024',SAHYADRI EXP   ,3.333333333,49,0
'11027',CHENNAI MAIL   ,2.5,17,0
'11026',PUNE BSL EXP   ,5,49,0
'11021',TIRUNELVELI EXP,0.909090909,17,0
'15315',GOKUL EXP      ,5,0,0
'11023',SAHYADRI EXPRES,10,49,0
'11022',CHALUKYA  EXP  ,0.909090909,17,0
'15054',LJN CPR EXP    ,1.111111111,0,0
'15057',GKP ANVT EXP   ,0.188679245,0,0
'15050',GKP KOLKATA EXP,2,0,0
'11028',MUMBAI MAIL    ,2.5,17,0
'15052',GKP KOLKATA EXP,2,0,0
'15053',CPR LJN EXP    ,1.111111111,0,0
'19579',RJT DEE EXPRESS,0.303030303,53,0
'12570',JYG GARIB RATH ,0.833333333,0,0
'17031',HYDERABAD EXP  ,1.25,49,0
'55322',RMR BSB EXPRESS,10,0,0
'22649',YERCAUD EXPRESS,5,17,0
'22648',KORBA EXPRESS  ,1.428571429,17,0
'04404',ANVT LKO SPL   ,0.188679245,0,0
'22643',PATNA EXPRESS  ,0.588235294,10,0
'22642',SHM TVC SF EXP ,0.555555556,10,0
'22641',SHALIMAR EXP   ,0.5,10,0
'22640',CHENNAI EXPRESS,3.333333333,17,0
'22647',KRBA TVC EXPRES,1.428571429,17,0
'22646',AHILYANAGARI EX,0.666666667,17,0
'22645',AHILYANAGARI EX,0.5,17,0
'22644',PNBE ERS EXPRES,0.588235294,10,0
'13302',SUBARNAREKHA EX,10,0,0
'04401',ANVT SVDK SPL  ,0.52631579,0,0
'17037',SC BKN EXP     ,0.666666667,53,0
'16129',MS TN LINK EXP ,5,17,0
'19608',AII KOAA EXP   ,1.25,0,0
'16125',MS JODHPUR EXP ,0.666666667,53,0
'19607',AII WKLY EXP   ,1.25,0,0
'16126',JU MS EXPRESS  ,0.666666667,53,0
'19601',UDZ NJP EXP    ,1.111111111,0,0
'19602',NJP UDZ EXPRESS,1.111111111,0,0
'12729',PUNE NANDED EXP,0.384615385,49,0
'12728',GODAVARI EXP   ,0.625,10,0
'12727',GODAVARI EXP   ,0.625,10,0
'12726',INTERCITY EXP  ,2,17,0
'12725',INTERCITY EXP  ,2,17,0
'12724',A P EXPRESS    ,0.27027027,49,0
'12723',A P EXP        ,0.37037037,49,0
'12722',DAKSHIN EXPRESS,2,10,0
'12721',NIZAMUDDIN EXP ,10,49,0
'12720',HYB AII SUP EXP,0.833333333,49,0
'15234',DBG KOAA EXPRES,0.208333333,0,0
'56904',DWR SUR PASSENG,5,17,0
'24887',HW BME LINK EXP,2.5,0,0
'13301',SUBARNAREKHA EX,5,0,0
'56101',CHENNAI EXPRESS,5,17,0
'21126',BIX INDB EXP   ,3.333333333,49,0
'21125',INDORE BHIND EX,3.333333333,49,0
'17639',KCG AK EXP     ,3.333333333,49,0
'57272',RGDA BZA PASS  ,5,10,0
'57273',UBL TIRUPATI PA,5,17,0
'57271',RAYAGADA PSGNR ,5,10,0
'17617',TAPOVAN EXPRESS,0.909090909,49,0
'16723',ANANTAPURI EXP ,5,17,0
'16230',BSB MYS EXP    ,1.666666667,49,0
'16232',MAILADUTURAI EX,10,17,0
'16235',MYSORE  EXP    ,5,17,0
'16236',TUTICORIN EXP  ,10,17,0
'12039',KGM ANVT SHT   ,0.625,0,0
'24888',BME HW LINK EXP,3.333333333,0,0
'17430',RAYALASEEMA EXP,2.5,17,0
'22111',BSL NGP SUP EXP,5,49,0
'12033',CNB NDLS SHT   ,0.163934426,0,0
'12032',AMRITSAR SHTBDI,0.169491525,0,0
'12031',AMRITSAR SHTBDI,3.333333333,0,0
'22110',NZM LTT AC EXP ,0.078740158,49,0
'12037',NDLS LDH SHTBDI,0.434782609,0,0
'12036',AF JP SHATABDI ,0.192307692,53,0
'12035',JP AF SHATABDI ,0.192307692,53,0
'12034',NDLS CNB SHT   ,0.163934426,0,0
'16506',GANDHIDHAM EXP ,0.5,53,0
'16505',GIMB SBC EXPRES,1,53,0
'16345',NETRAVATI EXP  ,1.25,17,0
'16344',AMRITHA EXPRESS,5,17,0
'16347',MANGALORE EXP  ,3.333333333,17,0
'16346',NETRAVATHI EXP ,1.25,17,0
'16341',TRIVANDRUM EXP ,2.5,17,0
'16501',ADI YPR EXPRESS,0.25,53,0
'16343',AMRITHA EXPRESS,5,17,0
'16342',GURUVAYUR EXP  ,2.5,17,0
'16349',RAJYA RANI EXP ,5,17,0
'16348',TRIVANDRUM EXP ,2.5,17,0
'12107',LUCKNOW SUP EXP,0.188679245,49,0
'12106',VIDARBHA EXPRES,0.625,49,0
'12105',VIDARBHA EXPRES,0.625,49,0
'12104',LJN PUNE EXP   ,0.188679245,49,0
'12103',PA LUCKNOW EXP ,0.263157895,49,0
'12102',JNANESWARISUPDL,0.169491525,49,0
'12101',JNANESWARI DELX,0.169491525,49,0
'02509',BNC KYQ SUVIDHA,0.142857143,10,0
'12109',PANCHAVATI EXP ,0.909090909,49,0
'12108',LJN LTT EXPRESS,0.188679245,49,0
'05028',SUVIDHA SPL    ,0.188679245,0,0
'12249',HWH NDLS YUVA E,0.909090909,0,0
'05027',SUVDHA SPL     ,0.188679245,0,0
'57306',GNT KCG  PASS  ,5,10,0
'58838',CWA RMO NGP PAS,2.5,49,0
'57305',KCGGNT PASS    ,10,10,0
'12619',MATSYAGANDHA EX,1.666666667,49,0
'58832',CWA RMO NGP PAS,10,49,0
'58835',NGP RMO CWA PAS,2.5,49,0
'58837',NGP RMO CWA PAS,3.333333333,49,0
'22812',BUBNESWR RJDHNI,0.25,10,0
'22813',SRC  PRDP SF EX,5,10,0
'13186',GANGA SAGAR EXP,1.25,0,0
'13187',SDAH RPH EXP   ,2.5,0,0
'22816',ERS BILASPUR EX,0.178571429,17,0
'22817',HWH MYS EXPRESS,0.192307692,10,0
'22814',PRDP SRC SF EXP,5,10,0
'22815',BSP ERS S F EXP,0.178571429,17,0
'22818',MYS HOWRAH EXP ,0.52631579,10,0
'13188',RPH SDAH EXP   ,2.5,0,0
'14888',BARMER  KLK EXP,3.333333333,0,0
'14889',JU MBF LINK EXP,5,11,10
'15934',ASR DBRG EXPRES,2.5,0,0
'14887',KLK BME EXPRESS,3.333333333,0,0
'12213',DURONTO EXPRESS,3.333333333,49,0
'05115',CPR SVDKSPL    ,2.5,0,0
'05116',SVDK CPR SPL   ,2.5,0,0
'12210',CNB GARIB RATH ,0.625,0,0
'12217',SAMPARK KRANTHI,0.357142857,53,0
'12216',DEE GARIBRATH  ,1.666666667,53,0
'12215',DEE BDTS G RATH,1.666666667,53,0
'12214',YPR DURONTO EXP,3.333333333,49,0
'12082',JAN SHATABDI   ,0.263157895,17,0
'12219',SC DURONTO EXP ,0.227272727,49,0
'12218',KERLA S KRANTI ,0.357142857,53,0
'15026',ANVT MAU EXP   ,0.555555556,0,0
'15233',KOAA DBG EXP   ,0.208333333,0,0
'14866',MARUDHAR EXPRES,1,53,0
'14864',MARUDHAR EXPRES,1,53,0
'14865',MARUDHAR EXPRES,1,53,0
'14646',SHALIMAR EXP   ,1.666666667,0,0
'14863',MARUDHAR EXPRES,1,53,0
'58230',REWA BSP F PASS,1.666666667,49,0
'14649',SARYU YAMUNA EX,2.5,0,0
'13071',HWH JMP EXPRESS,1.666666667,0,0
'13072',JMP HWH EXP    ,1.666666667,0,0
'14212',INTERCITY EXP  ,5,49,0
'22610',INTERCITY EXP  ,0.5,17,0
'18437',BBS BWIP LINK E,5,10,0
'18438',BWIP BBS LINK E,5,10,0
'12921',FLYING RANEE   ,1.111111111,53,0
'12920',MALWA EXPRESS  ,0.52631579,49,0
'15603',INTER CITY EXP ,5,0,0
'12922',FLYING RANEE   ,1.111111111,53,0
'15605',JTTN INTERCITY ,5,0,0
